149066	47545	55354	49933	49871	56812	50971	51992	50685	49216	53933	71699	52999	46218	58662	49155	57971	50754	61646	48729	48523	47939	49446	61070	61371	47107	52075	54774	58814	47797	47156	65450	48214	50544	51866	49930	48301	52972	53682	58719	51068	61911	47484	56607	48949	62938	50320	50100	62552	62458	61823	50021	49966	62110	54033	49631	53657	51352	56853	53352	66081	52813	57429	58779	59105	71773	69046	60662	48488	47785	47983	72975	48101	50147	47697	53623	165011	
154241	60875	49394	56089	47875	47578	47790	48464	48997	62337	67657	50691	49569	49657	52688	51311	55370	48500	48633	56900	72110	51236	52764	52128	50572	47872	48930	47079	45794	51655	48565	52758	45398	46689	47414	62976	56263	49133	49565	48766	49500	48257	48724	48610	51508	53729	49934	54540	56852	48851	49099	48100	50646	48302	47253	48864	59639	47511	49317	50496	60347	51253	47512	54564	46448	50951	49938	52784	49198	57700	52174	50637	60030	47874	49769	52261	159596	
144577	50530	46995	55405	47697	47298	57438	49581	53150	56771	48215	49185	48955	47490	56368	56408	57756	52826	51471	58558	52678	56946	55069	49131	57912	52789	57575	57332	51150	58842	48626	58246	48341	59384	50254	48507	50693	50336	52421	49582	53400	61695	49607	49385	50434	48853	47848	47662	63265	59155	48957	48283	49893	50669	49081	60957	58235	47879	61474	49744	56971	52829	49006	49779	48748	69417	59045	53162	49757	48524	53056	59085	50240	49435	48324	48452	188387	
156395	49960	48519	54072	52470	49407	58462	51586	50233	57618	58154	47627	48448	49175	55788	48720	49114	47516	50834	59970	47117	49527	47287	53356	52679	53167	46248	50737	44321	44753	59972	56360	47588	47527	52688	47133	60298	51672	58993	48909	48431	53907	51016	48509	57003	50937	57924	48096	50582	56829	55307	53053	48724	58284	46440	52079	48802	48273	50309	48825	49352	47352	55972	48159	49979	52751	49096	57790	55681	57444	49172	50071	50939	51265	62820	54853	172096	
152654	48692	51292	48696	49982	49650	54442	55325	48672	48481	48922	53073	49768	48618	49226	48002	49622	50192	50496	52608	53425	49422	59154	53605	53140	48959	65765	50323	50063	48945	48811	50839	48698	49285	49237	62083	57662	54879	50325	47693	62734	47067	48517	62899	51407	49272	55008	54480	49406	47908	48136	50528	49050	52652	50126	49768	49984	49188	50129	57531	49604	50285	54420	48556	53110	48314	52388	49740	49858	54621	50250	60446	49240	56773	60728	49072	176848	
152811	49445	48653	47397	53613	47693	49219	48222	48270	48196	48338	51039	53539	52102	54468	58375	52973	49068	48514	53383	51233	48491	64573	50744	65069	52131	57113	48801	66430	48608	50877	48469	48214	54976	47421	48167	62079	58074	58446	48734	51039	53378	49513	51668	48242	48335	48383	59581	47936	52167	47976	49038	50202	58322	49638	48284	50053	64288	56046	49192	48381	53209	50879	56159	52799	51202	48984	47402	49684	56668	60291	62976	56539	55271	50291	50905	176434	
151532	56846	51471	50847	49168	49134	50481	49661	50230	56024	50111	49962	52378	49016	48740	50938	51998	54502	54289	47320	60381	49085	47959	49873	54213	50382	49759	50434	52277	47644	49780	74417	55170	49987	48457	60747	47428	47857	49695	51868	48368	48357	47364	47408	47446	49076	48872	55114	55449	62240	59953	66337	48259	53312	49527	59063	54229	54622	51325	50359	75900	51161	63458	71823	62990	57710	50946	48320	48487	59500	50476	51347	51796	48934	54656	50640	173084	
149846	61609	51157	49749	59407	51590	52967	49649	48810	47345	61216	50619	51463	48103	48376	49185	59520	50399	49406	48898	52328	53691	49679	52282	50814	50354	49725	59505	50650	49614	54856	52700	59580	55639	50488	47618	51888	51557	52086	49369	56355	55094	58600	57226	48490	50471	50873	57089	48457	49612	55490	49772	51349	49159	58655	51074	66428	50147	54696	65857	51387	51835	52772	52394	48593	54250	47457	48303	50133	51000	56779	58210	52891	52318	50335	51177	161908	
166432	50705	67821	56154	51654	48830	48217	49993	51642	49276	47056	47388	48554	57726	52017	56750	52703	46651	46624	43765	49518	51295	54216	55122	47408	45815	50432	54614	58086	68251	48702	50405	54984	71079	53602	63623	58093	55140	48012	49540	55688	48186	51749	52680	55138	49622	52528	52393	55398	55189	47758	57966	66759	48090	48341	48400	53706	50541	50571	61548	61165	50060	49435	48501	47124	55910	53067	48799	51298	48373	54190	53886	57331	61695	48873	56802	167160	
158104	58330	49055	47917	48438	55335	53739	60397	58540	51801	53605	58197	61862	48675	50742	49940	59719	73774	49003	50376	62141	50379	48952	62300	49082	56630	50781	60010	58090	54187	49114	54002	51275	47428	51520	53044	53835	49689	53511	49394	48995	47529	49197	56211	48168	51152	50174	60588	54845	50728	48188	49149	52064	51518	74224	46099	50348	49803	48404	52375	53430	47861	45615	47088	49950	52242	47712	63841	58846	48271	47202	56287	48526	47323	52193	55984	181611	
159533	48237	47940	47017	49417	52724	49288	48145	53504	50656	48933	56679	67258	52458	47329	52020	56108	53513	59712	48949	60461	48480	50951	49446	46753	46623	49741	55796	58377	48656	51432	58878	47056	47717	52509	49098	50258	60236	52220	46771	56775	48376	65455	47580	47736	49691	58593	48929	49051	65464	47952	49045	59196	47748	61484	47942	47856	59087	46991	58263	65123	50593	50007	48154	47686	54747	47993	47683	47707	55660	54307	47068	48547	52973	59980	46683	165936	
