t	norma	normb	norm
0.342	0.0453042	0.0602044	0.000300599
0.343	0.0486473	0.0646087	0.000300599
0.344	0.0519676	0.0689764	0.000300599
0.345	0.0552653	0.0733076	0.000300599
0.346	0.0585404	0.0776026	0.000300599
0.347	0.061793	0.0818617	0.000300599
0.348	0.0650232	0.0860849	0.000300599
0.349	0.0682313	0.0902727	0.000300599
0.35	0.0714171	0.0944252	0.000300599
0.351	0.074581	0.0985427	0.000300599
0.352	0.0777228	0.102625	0.000300599
0.353	0.0808429	0.106673	0.000300599
0.354	0.0839413	0.110687	0.000300599
0.355	0.0870181	0.114667	0.000300599
0.356	0.0900733	0.118613	0.000300599
0.357	0.0931072	0.122525	0.000300599
0.358	0.0961197	0.126403	0.000300599
0.359	0.099111	0.130249	0.000300599
0.36	0.102081	0.134061	0.000300599
0.361	0.105031	0.13784	0.000300599
0.362	0.107959	0.141587	0.000300599
0.363	0.110867	0.145302	0.000300599
0.364	0.113754	0.148984	0.000300599
0.365	0.11662	0.152635	0.000300599
0.366	0.119466	0.156254	0.000300599
0.367	0.122291	0.159841	0.000300599
0.368	0.125096	0.163397	0.000300599
0.369	0.127881	0.166921	0.000300599
0.37	0.130646	0.170415	0.000300599
0.371	0.133391	0.173878	0.000300599
0.372	0.136116	0.177311	0.000300599
0.373	0.138821	0.180713	0.000300599
0.374	0.141506	0.184085	0.000300599
0.375	0.144172	0.187427	0.000300599
0.376	0.146818	0.190739	0.000300599
0.377	0.149445	0.194022	0.000300599
0.378	0.152052	0.197275	0.000300599
0.379	0.154641	0.200499	0.000300599
0.38	0.15721	0.203695	0.000300599
0.381	0.159759	0.206861	0.000300599
0.382	0.16229	0.209999	0.000300599
0.383	0.164802	0.213108	0.000300599
0.384	0.167296	0.216189	0.000300599
0.385	0.16977	0.219242	0.000300599
0.386	0.172226	0.222267	0.000300599
0.387	0.174663	0.225264	0.000300599
0.388	0.177082	0.228234	0.000300599
0.389	0.179483	0.231176	0.000300599
0.39	0.181865	0.234091	0.000300599
0.391	0.184229	0.23698	0.000300599
0.392	0.186575	0.239841	0.000300599
0.393	0.188903	0.242675	0.000300599
0.394	0.191213	0.245483	0.000300599
0.395	0.193505	0.248265	0.000300599
0.396	0.195779	0.251021	0.000300599
0.397	0.198036	0.25375	0.000300599
0.398	0.200275	0.256454	0.000300599
0.399	0.202496	0.259132	0.000300599
0.4	0.2047	0.261784	0.000300599
0.401	0.206887	0.264411	0.000300599
0.402	0.209056	0.267013	0.000300599
0.403	0.211208	0.269589	0.000300599
0.404	0.213343	0.272141	0.000300599
0.405	0.215461	0.274668	0.000300599
0.406	0.217562	0.277171	0.000300599
0.407	0.219647	0.279649	0.000300599
0.408	0.221714	0.282103	0.000300599
0.409	0.223765	0.284532	0.000300599
0.41	0.225799	0.286938	0.000300599
0.411	0.227816	0.28932	0.000300599
0.412	0.229817	0.291678	0.000300599
0.413	0.231801	0.294012	0.000300599
0.414	0.23377	0.296323	0.000300599
0.415	0.235722	0.298611	0.000300599
0.416	0.237657	0.300876	0.000300599
0.417	0.239577	0.303118	0.000300599
0.418	0.24148	0.305337	0.000300599
0.419	0.243368	0.307533	0.000300599
0.42	0.245239	0.309707	0.000300599
0.421	0.247095	0.311859	0.000300599
0.422	0.248935	0.313988	0.000300599
0.423	0.25076	0.316095	0.000300599
0.424	0.252569	0.31818	0.000300599
0.425	0.254362	0.320243	0.000300599
