t	norma	normb	norm
0.461	0.733223	1.09237	0.0530631
0.462	0.735889	1.09566	0.0530631
0.463	0.738533	1.0989	0.0530631
0.464	0.741156	1.10209	0.0530631
0.465	0.743753	1.10523	0.0530631
0.466	0.746322	1.10831	0.0530631
0.467	0.74886	1.11135	0.0530631
0.468	0.751372	1.11434	0.0530631
0.469	0.753873	1.11728	0.0530631
0.47	0.756339	1.12016	0.0530631
0.471	0.75879	1.12301	0.0530631
0.472	0.76121	1.12582	0.0530631
0.473	0.763601	1.12858	0.0530631
0.474	0.76597	1.13129	0.0530631
0.475	0.768322	1.13395	0.0530631
0.476	0.770656	1.13657	0.0530631
0.477	0.772962	1.13914	0.0530631
0.478	0.775244	1.14166	0.0530631
0.479	0.777509	1.14414	0.0530631
0.48	0.779752	1.14656	0.0530631
0.481	0.781961	1.14895	0.0530631
0.482	0.784145	1.15131	0.0530631
0.483	0.786303	1.15361	0.0530631
0.484	0.788443	1.15587	0.0530631
0.485	0.790565	1.15809	0.0530631
0.486	0.792661	1.16026	0.0530631
0.487	0.79473	1.1624	0.0530631
0.488	0.796768	1.1645	0.0530631
0.489	0.798779	1.16654	0.0530631
0.49	0.800782	1.16854	0.0530631
0.491	0.802772	1.17051	0.0530631
0.492	0.804738	1.17243	0.0530631
0.493	0.806682	1.17431	0.0530631
0.494	0.808596	1.17615	0.0530631
0.495	0.810486	1.17796	0.0530631
0.496	0.812358	1.17972	0.0530631
0.497	0.8142	1.18145	0.0530631
0.498	0.816023	1.18314	0.0530631
0.499	0.817833	1.18479	0.0530631
0.5	0.819618	1.1864	0.0530631
0.501	0.821379	1.18797	0.0530631
0.502	0.823119	1.1895	0.0530631
0.503	0.824841	1.191	0.0530631
0.504	0.826547	1.19245	0.0530631
0.505	0.828231	1.19387	0.0530631
0.506	0.829887	1.19525	0.0530631
0.507	0.831523	1.1966	0.0530631
0.508	0.833134	1.1979	0.0530631
0.509	0.834729	1.19917	0.0530631
0.51	0.836302	1.2004	0.0530631
0.511	0.837845	1.2016	0.0530631
0.512	0.839358	1.20277	0.0530631
0.513	0.840862	1.2039	0.0530631
0.514	0.842353	1.20499	0.0530631
0.515	0.843822	1.20606	0.0530631
0.516	0.845275	1.2071	0.0530631
0.517	0.846701	1.20809	0.0530631
0.518	0.848112	1.20905	0.0530631
0.519	0.849504	1.20997	0.0530631
0.52	0.850871	1.21086	0.0530631
0.521	0.852215	1.21172	0.0530631
0.522	0.85355	1.21255	0.0530631
0.523	0.854863	1.21334	0.0530631
0.524	0.856156	1.2141	0.0530631
0.525	0.85742	1.21483	0.0530631
0.526	0.85866	1.21552	0.0530631
0.527	0.85989	1.21618	0.0530631
0.528	0.861102	1.2168	0.0530631
0.529	0.862288	1.2174	0.0530631
0.53	0.863455	1.21797	0.0530631
0.531	0.864596	1.21851	0.0530631
0.532	0.865714	1.21902	0.0530631
0.533	0.866822	1.21949	0.0530631
0.534	0.867907	1.21993	0.0530631
0.535	0.868974	1.22034	0.0530631
0.536	0.87003	1.22073	0.0530631
0.537	0.871076	1.22108	0.0530631
0.538	0.872094	1.2214	0.0530631
0.539	0.873088	1.2217	0.0530631
0.54	0.874063	1.22197	0.0530631
0.541	0.875017	1.22221	0.0530631
0.542	0.875948	1.22242	0.0530631
0.543	0.876862	1.22261	0.0530631
0.544	0.877762	1.22276	0.0530631
0.545	0.87864	1.22288	0.0530631
0.546	0.879504	1.22298	0.0530631
0.547	0.88035	1.22305	0.0530631
0.548	0.881176	1.22308	0.0530631
0.549	0.88199	1.22309	0.0530631
0.55	0.882786	1.22308	0.0530631
0.551	0.883561	1.22304	0.0530631
0.552	0.884318	1.22297	0.0530631
0.553	0.885066	1.22288	0.0530631
0.554	0.885791	1.22276	0.0530631
0.555	0.886491	1.22262	0.0530631
0.556	0.88717	1.22246	0.0530631
0.557	0.887834	1.22227	0.0530631
0.558	0.888482	1.22205	0.0530631
0.559	0.889112	1.2218	0.0530631
0.56	0.88972	1.22152	0.0530631
0.561	0.890307	1.22122	0.0530631
0.562	0.890883	1.22089	0.0530631
0.563	0.891436	1.22055	0.0530631
0.564	0.891972	1.22018	0.0530631
0.565	0.892502	1.21978	0.0530631
0.566	0.893021	1.21936	0.0530631
0.567	0.893515	1.21891	0.0530631
0.568	0.893988	1.21844	0.0530631
0.569	0.894453	1.21795	0.0530631
0.57	0.894897	1.21744	0.0530631
0.571	0.895319	1.21689	0.0530631
0.572	0.895724	1.21633	0.0530631
0.573	0.896113	1.21575	0.0530631
0.574	0.896482	1.21514	0.0530631
0.575	0.896833	1.21451	0.0530631
0.576	0.897165	1.21385	0.0530631
0.577	0.897475	1.21317	0.0530631
0.578	0.897774	1.21246	0.0530631
0.579	0.898067	1.21173	0.0530631
0.58	0.898346	1.21099	0.0530631
0.581	0.898602	1.21023	0.0530631
0.582	0.898836	1.20944	0.0530631
0.583	0.899048	1.20863	0.0530631
0.584	0.899249	1.2078	0.0530631
0.585	0.899436	1.20694	0.0530631
0.586	0.899604	1.20607	0.0530631
0.587	0.899764	1.20518	0.0530631
0.588	0.899911	1.20428	0.0530631
0.589	0.900046	1.20335	0.0530631
0.59	0.900158	1.2024	0.0530631
0.591	0.900247	1.20143	0.0530631
0.592	0.900327	1.20043	0.0530631
0.593	0.900387	1.19941	0.0530631
0.594	0.900433	1.19838	0.0530631
0.595	0.900465	1.19732	0.0530631
0.596	0.900478	1.19624	0.0530631
0.597	0.900472	1.19515	0.0530631
0.598	0.900445	1.19403	0.0530631
0.599	0.900409	1.1929	0.0530631
0.6	0.900362	1.19175	0.0530631
0.601	0.900306	1.19058	0.0530631
0.602	0.900235	1.18938	0.0530631
0.603	0.900146	1.18817	0.0530631
0.604	0.900037	1.18693	0.0530631
0.605	0.89991	1.18569	0.0530631
0.606	0.89977	1.18443	0.0530631
0.607	0.89961	1.18315	0.0530631
0.608	0.899437	1.18185	0.0530631
0.609	0.899253	1.18054	0.0530631
0.61	0.899061	1.1792	0.0530631
0.611	0.898845	1.17785	0.0530631
0.612	0.898611	1.17648	0.0530631
0.613	0.898357	1.17509	0.0530631
0.614	0.898091	1.17369	0.0530631
0.615	0.897814	1.17226	0.0530631
0.616	0.897527	1.17082	0.0530631
0.617	0.897232	1.16937	0.0530631
0.618	0.896918	1.1679	0.0530631
0.619	0.896591	1.16641	0.0530631
0.62	0.89625	1.1649	0.0530631
0.621	0.895893	1.16338	0.0530631
0.622	0.895517	1.16184	0.0530631
0.623	0.895125	1.16028	0.0530631
0.624	0.89472	1.15871	0.0530631
0.625	0.894301	1.15712	0.0530631
0.626	0.893867	1.15552	0.0530631
0.627	0.893416	1.1539	0.0530631
0.628	0.892964	1.15227	0.0530631
0.629	0.892494	1.15062	0.0530631
0.63	0.892007	1.14896	0.0530631
0.631	0.891497	1.14727	0.0530631
0.632	0.89097	1.14558	0.0530631
0.633	0.890433	1.14387	0.0530631
0.634	0.889882	1.14214	0.0530631
0.635	0.88932	1.1404	0.0530631
0.636	0.888744	1.13865	0.0530631
0.637	0.888151	1.13688	0.0530631
0.638	0.533467	0.683802	0.0530631
0.639	0.530265	0.678769	0.0530631
0.64	0.527074	0.673763	0.0530631
0.641	0.523892	0.668778	0.0530631
0.642	0.520727	0.663818	0.0530631
0.643	0.51758	0.658895	0.0530631
0.644	0.514451	0.654003	0.0530631
0.645	0.511336	0.649137	0.0530631
0.646	0.508231	0.644302	0.0530631
0.647	0.505138	0.639491	0.0530631
0.648	0.502061	0.634711	0.0530631
0.649	0.498987	0.629955	0.0530631
0.65	0.495921	0.625226	0.0530631
0.651	0.492865	0.620524	0.0530631
0.652	0.489823	0.61585	0.0530631
0.653	0.486804	0.61121	0.0530631
0.654	0.483797	0.606594	0.0530631
0.655	0.48081	0.60201	0.0530631
0.656	0.477838	0.597448	0.0530631
0.657	0.47488	0.592902	0.0530631
0.658	0.471932	0.588377	0.0530631
0.659	0.468991	0.583888	0.0530631
0.66	0.466057	0.579425	0.0530631
0.661	0.463138	0.574994	0.0530631
0.662	0.460241	0.570586	0.0530631
0.663	0.457349	0.566198	0.0530631
0.664	0.454465	0.561837	0.0530631
0.665	0.451594	0.557499	0.0530631
0.666	0.448741	0.553181	0.0530631
0.667	0.445899	0.548893	0.0530631
0.668	0.443075	0.544645	0.0530631
0.669	0.440265	0.540423	0.0530631
0.67	0.437469	0.536225	0.0530631
0.671	0.434684	0.53205	0.0530631
0.672	0.431906	0.527904	0.0530631
0.673	0.429145	0.523783	0.0530631
0.674	0.426397	0.519686	0.0530631
0.675	0.423654	0.515607	0.0530631
0.676	0.420922	0.511556	0.0530631
0.677	0.418207	0.507531	0.0530631
0.678	0.415498	0.503531	0.0530631
0.679	0.412796	0.49956	0.0530631
0.68	0.410106	0.495613	0.0530631
0.681	0.407427	0.491688	0.0530631
0.682	0.404766	0.487787	0.0530631
0.683	0.402119	0.483911	0.0530631
0.684	0.399483	0.480056	0.0530631
0.685	0.396858	0.476219	0.0530631
0.686	0.394244	0.472408	0.0530631
0.687	0.391647	0.46862	0.0530631
0.688	0.389062	0.464857	0.0530631
0.689	0.386488	0.461115	0.0530631
0.69	0.383927	0.457394	0.0530631
0.691	0.381384	0.453702	0.0530631
0.692	0.37885	0.450031	0.0530631
0.693	0.37633	0.446377	0.0530631
0.694	0.373819	0.442742	0.0530631
0.695	0.371322	0.439141	0.0530631
0.696	0.368834	0.435567	0.0530631
0.697	0.366352	0.432015	0.0530631
0.698	0.363878	0.42849	0.0530631
