t	norma	normb	norm
0.243	0.104746	0.126415	6.29147e-05
0.244	0.103141	0.124419	6.29147e-05
0.245	0.101546	0.122437	6.29147e-05
0.246	0.099962	0.120471	6.29147e-05
0.247	0.0983887	0.118519	6.29147e-05
0.248	0.0968261	0.116582	6.29147e-05
0.249	0.095274	0.11466	6.29147e-05
0.25	0.0937325	0.112753	6.29147e-05
0.251	0.0922014	0.11086	6.29147e-05
0.252	0.0906807	0.108981	6.29147e-05
0.253	0.0891703	0.107116	6.29147e-05
0.254	0.0876702	0.105266	6.29147e-05
0.255	0.0861802	0.10343	6.29147e-05
0.256	0.0847003	0.101607	6.29147e-05
0.257	0.0832304	0.0997988	6.29147e-05
0.258	0.0817705	0.098004	6.29147e-05
0.259	0.0803206	0.0962228	6.29147e-05
0.26	0.0788804	0.0944551	6.29147e-05
0.261	0.07745	0.0927008	6.29147e-05
0.262	0.0760294	0.0909597	6.29147e-05
0.263	0.0746184	0.089232	6.29147e-05
0.264	0.0732169	0.0875172	6.29147e-05
0.265	0.071825	0.0858155	6.29147e-05
0.266	0.0704426	0.0841268	6.29147e-05
0.267	0.0690695	0.0824508	6.29147e-05
0.268	0.0677058	0.0807875	6.29147e-05
0.269	0.0663514	0.0791369	6.29147e-05
0.27	0.0650062	0.0774988	6.29147e-05
0.271	0.0636701	0.0758732	6.29147e-05
0.272	0.0623432	0.0742599	6.29147e-05
0.273	0.0610253	0.0726588	6.29147e-05
0.274	0.0597164	0.07107	6.29147e-05
0.275	0.0584164	0.0694932	6.29147e-05
0.276	0.0571252	0.0679284	6.29147e-05
0.277	0.0558429	0.0663755	6.29147e-05
0.278	0.0545694	0.0648344	6.29147e-05
0.279	0.0533046	0.063305	6.29147e-05
0.28	0.0520484	0.0617873	6.29147e-05
0.281	0.0508008	0.0602812	6.29147e-05
0.282	0.0495618	0.0587866	6.29147e-05
0.283	0.0483312	0.0573033	6.29147e-05
0.284	0.0471091	0.0558314	6.29147e-05
0.285	0.0458954	0.0543707	6.29147e-05
0.286	0.04469	0.0529211	6.29147e-05
0.287	0.0434929	0.0514826	6.29147e-05
0.288	0.042304	0.0500552	6.29147e-05
0.289	0.0411233	0.0486386	6.29147e-05
0.29	0.0399507	0.0472329	6.29147e-05
0.291	0.0387862	0.0458379	6.29147e-05
0.292	0.0376297	0.0444537	6.29147e-05
0.293	0.0364812	0.04308	6.29147e-05
0.294	0.0353407	0.0417169	6.29147e-05
0.295	0.034208	0.0403642	6.29147e-05
0.296	0.0330832	0.039022	6.29147e-05
0.297	0.0319661	0.03769	6.29147e-05
0.298	0.0308568	0.0363683	6.29147e-05
0.299	0.0297551	0.0350568	6.29147e-05
0.3	0.0286612	0.0337554	6.29147e-05
0.301	0.0275748	0.032464	6.29147e-05
0.302	0.026496	0.0311826	6.29147e-05
0.303	0.0254246	0.029911	6.29147e-05
0.304	0.0243608	0.0286493	6.29147e-05
0.305	0.0233043	0.0273974	6.29147e-05
0.306	0.0222553	0.0261551	6.29147e-05
0.307	0.0212135	0.0249225	6.29147e-05
0.308	0.0201791	0.0236994	6.29147e-05
0.309	0.0191519	0.0224858	6.29147e-05
0.31	0.018132	0.0212817	6.29147e-05
0.311	0.0171192	0.0200869	6.29147e-05
0.312	0.0161135	0.0189014	6.29147e-05
0.313	0.015115	0.0177251	6.29147e-05
0.314	0.0141235	0.016558	6.29147e-05
0.315	0.0131391	0.0154	6.29147e-05
0.316	0.0121617	0.0142511	6.29147e-05
0.317	0.0111912	0.0131112	6.29147e-05
0.318	0.0102276	0.0119801	6.29147e-05
0.319	0.00927097	0.010858	6.29147e-05
0.32	0.00832114	0.00974465	6.29147e-05
0.321	0.00737813	0.00864007	6.29147e-05
0.322	0.0064419	0.00754422	6.29147e-05
0.323	0.00551241	0.00645707	6.29147e-05
0.324	0.00458963	0.0053786	6.29147e-05
0.325	0.00367351	0.00430876	6.29147e-05
0.326	0.0027649	0.00324752	6.29147e-05
0.327	0.00186445	0.00219485	6.29147e-05
0.328	0.000975885	0.0011518	6.29147e-05
0.329	0.000140074	0.000139723	6.29147e-05
0.33	0.000819926	0.000917272	6.29147e-05
0.331	0.00169815	0.00193756	6.29147e-05
0.332	0.00257003	0.00294971	6.29147e-05
0.333	0.00343563	0.0039538	6.29147e-05
0.334	0.00429499	0.00494987	6.29147e-05
0.335	0.0051481	0.00593796	6.29147e-05
0.336	0.00599504	0.00691815	6.29147e-05
0.337	0.00683584	0.00789048	6.29147e-05
0.338	0.00767051	0.00885499	6.29147e-05
0.339	0.00849909	0.00981174	6.29147e-05
0.34	0.00932165	0.0107608	6.29147e-05
0.341	0.0101382	0.0117022	6.29147e-05
0.342	0.0109488	0.012636	6.29147e-05
0.343	0.0117534	0.0135622	6.29147e-05
0.344	0.0125521	0.0144809	6.29147e-05
0.345	0.0133449	0.0153921	6.29147e-05
0.346	0.0141319	0.016296	6.29147e-05
0.347	0.0149131	0.0171925	6.29147e-05
0.348	0.0156885	0.0180816	6.29147e-05
0.349	0.0164582	0.0189635	6.29147e-05
0.35	0.0172221	0.0198382	6.29147e-05
0.351	0.0179804	0.0207057	6.29147e-05
0.352	0.018733	0.021566	6.29147e-05
0.353	0.01948	0.0224193	6.29147e-05
0.354	0.0202214	0.0232656	6.29147e-05
0.355	0.0209573	0.0241048	6.29147e-05
0.356	0.0216876	0.0249371	6.29147e-05
0.357	0.0224125	0.0257625	6.29147e-05
0.358	0.0231319	0.0265811	6.29147e-05
0.359	0.0238458	0.0273928	6.29147e-05
0.36	0.0245544	0.0281977	6.29147e-05
0.361	0.0252576	0.028996	6.29147e-05
0.362	0.0259554	0.0297875	6.29147e-05
0.363	0.0266479	0.0305724	6.29147e-05
0.364	0.0273352	0.0313507	6.29147e-05
0.365	0.0280172	0.0321224	6.29147e-05
0.366	0.0286939	0.0328876	6.29147e-05
0.367	0.0293655	0.0336464	6.29147e-05
0.368	0.0300319	0.0343987	6.29147e-05
0.369	0.0306931	0.0351446	6.29147e-05
0.37	0.0313493	0.0358841	6.29147e-05
0.371	0.0320003	0.0366174	6.29147e-05
0.372	0.0326463	0.0373443	6.29147e-05
0.373	0.0332873	0.038065	6.29147e-05
0.374	0.0339233	0.0387796	6.29147e-05
0.375	0.0345543	0.0394879	6.29147e-05
0.376	0.0351804	0.0401902	6.29147e-05
0.377	0.0358015	0.0408863	6.29147e-05
0.378	0.0364177	0.0415765	6.29147e-05
0.379	0.0370291	0.0422606	6.29147e-05
0.38	0.0376356	0.0429387	6.29147e-05
0.381	0.0382373	0.0436109	6.29147e-05
0.382	0.0388343	0.0442773	6.29147e-05
0.383	0.0394264	0.0449377	6.29147e-05
0.384	0.0400139	0.0455924	6.29147e-05
0.385	0.0405966	0.0462412	6.29147e-05
0.386	0.0411746	0.0468843	6.29147e-05
0.387	0.041748	0.0475217	6.29147e-05
0.388	0.0423167	0.0481534	6.29147e-05
0.389	0.0428808	0.0487795	6.29147e-05
0.39	0.0434404	0.0493999	6.29147e-05
0.391	0.0439954	0.0500148	6.29147e-05
0.392	0.0445458	0.0506241	6.29147e-05
0.393	0.0450917	0.051228	6.29147e-05
0.394	0.0456331	0.0518263	6.29147e-05
0.395	0.0461701	0.0524193	6.29147e-05
0.396	0.0467026	0.0530068	6.29147e-05
0.397	0.0472308	0.0535889	6.29147e-05
