t	integral	norm	uniform_integral	uniform_norm	time
-0.344874	0.0206157	0.25532	0.0160179	0.197357	66635
-0.34221	0.0205649	0.254677	0.0160179	0.197357	93689
-0.339547	0.0205143	0.254039	0.0160179	0.197357	55137
-0.336884	0.0204641	0.253404	0.0160179	0.197357	55140
-0.334221	0.0204142	0.252774	0.0160179	0.197357	53585
-0.331558	0.0203647	0.252148	0.0160179	0.197357	128010
-0.328895	0.0203155	0.251526	0.0160179	0.197357	121962
-0.326232	0.0202666	0.250909	0.0160179	0.197357	50888
-0.323569	0.020218	0.250295	0.0160179	0.197357	50885
-0.320905	0.0201698	0.249686	0.0160179	0.197357	100088
-0.318242	0.0201219	0.24908	0.0160179	0.197357	50235
-0.315579	0.0200742	0.248478	0.0160179	0.197357	51535
-0.312916	0.0200269	0.247881	0.0160179	0.197357	50261
-0.310253	0.0199799	0.247287	0.0160179	0.197357	55064
-0.30759	0.0199332	0.246697	0.0160179	0.197357	63129
-0.304927	0.0198868	0.246111	0.0160179	0.197357	73020
-0.302264	0.0198407	0.245529	0.0160179	0.197357	55847
-0.299601	0.0197949	0.24495	0.0160179	0.197357	101265
-0.296937	0.0197494	0.244375	0.0160179	0.197357	124147
-0.294274	0.0197041	0.243804	0.0160179	0.197357	52369
-0.291611	0.0196592	0.243237	0.0160179	0.197357	55000
-0.288948	0.0196145	0.242673	0.0160179	0.197357	60359
-0.286285	0.0195701	0.242112	0.0160179	0.197357	52599
-0.283622	0.019526	0.241555	0.0160179	0.197357	103784
-0.280959	0.0194822	0.241002	0.0160179	0.197357	55054
-0.278296	0.0194386	0.240452	0.0160179	0.197357	54659
-0.275632	0.0193953	0.239906	0.0160179	0.197357	56133
-0.272969	0.0193523	0.239363	0.0160179	0.197357	60489
-0.270306	0.0193095	0.238823	0.0160179	0.197357	57778
-0.267643	0.0192671	0.238287	0.0160179	0.197357	57985
-0.26498	0.0192248	0.237753	0.0160179	0.197357	54764
-0.262317	0.0191828	0.237224	0.0160179	0.197357	92029
-0.259654	0.0191411	0.236697	0.0160179	0.197357	51924
-0.256991	0.0190997	0.236174	0.0160179	0.197357	56284
-0.254328	0.0190584	0.235654	0.0160179	0.197357	60207
-0.251664	0.0190175	0.235137	0.0160179	0.197357	55407
-0.249001	0.0189768	0.234623	0.0160179	0.197357	101786
-0.246338	0.0189363	0.234112	0.0160179	0.197357	120368
-0.243675	0.0188961	0.233605	0.0160179	0.197357	53960
-0.241012	0.0188561	0.2331	0.0160179	0.197357	54494
-0.238349	0.0188163	0.232599	0.0160179	0.197357	55927
-0.235686	0.0187768	0.2321	0.0160179	0.197357	114135
-0.233023	0.0187375	0.231605	0.0160179	0.197357	59095
-0.23036	0.0186985	0.231112	0.0160179	0.197357	54157
-0.227696	0.0186596	0.230622	0.0160179	0.197357	61415
-0.225033	0.018621	0.230136	0.0160179	0.197357	53651
-0.22237	0.0185827	0.229652	0.0160179	0.197357	57957
-0.219707	0.0185445	0.229171	0.0160179	0.197357	75815
-0.217044	0.0185066	0.228692	0.0160179	0.197357	52927
-0.214381	0.0184689	0.228217	0.0160179	0.197357	126347
-0.211718	0.0184314	0.227744	0.0160179	0.197357	60183
-0.209055	0.0183942	0.227274	0.0160179	0.197357	57525
-0.206391	0.0183571	0.226807	0.0160179	0.197357	62262
-0.203728	0.0183203	0.226342	0.0160179	0.197357	56065
-0.201065	0.0182836	0.225881	0.0160179	0.197357	56503
-0.198402	0.0182472	0.225421	0.0160179	0.197357	80886
-0.195739	0.018211	0.224965	0.0160179	0.197357	60186
-0.193076	0.018175	0.224511	0.0160179	0.197357	57905
-0.190413	0.0181392	0.22406	0.0160179	0.197357	52811
-0.18775	0.0181036	0.223611	0.0160179	0.197357	56250
-0.185087	0.0180682	0.223165	0.0160179	0.197357	78680
-0.182423	0.018033	0.222721	0.0160179	0.197357	74627
-0.17976	0.017998	0.22228	0.0160179	0.197357	89115
-0.177097	0.0179632	0.221841	0.0160179	0.197357	56523
-0.174434	0.0179286	0.221405	0.0160179	0.197357	55220
-0.171771	0.0178941	0.220971	0.0160179	0.197357	55851
-0.169108	0.0178599	0.22054	0.0160179	0.197357	88839
-0.166445	0.0178259	0.220111	0.0160179	0.197357	58371
-0.163782	0.017792	0.219684	0.0160179	0.197357	56166
-0.161119	0.0177584	0.21926	0.0160179	0.197357	56524
-0.158455	0.0177249	0.218838	0.0160179	0.197357	88579
